Protein	Host.TaxonID..Viral.ClusterID..Interaction.ID
A0A0E0UPX2	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UQ72	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UQG5	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0URT6	698936,,15196,,14706;;698936,,13792,,12565
A0A0E0UW41	1030009,,26773,,3972;;1030009,,26772,,9223;;1030009,,11509,,9737;;1030009,,4644,,3314;;1030009,,4636,,3307
A0A0E0UWC2	1030009,,26773,,3972;;1030009,,26772,,9223;;1030009,,11509,,9737;;1030009,,4644,,3314;;1030009,,4636,,3307
A0A0E1EET6	1311,,17621,,19020;;1311,,11871,,10178;;1311,,10448,,8685;;1311,,10112,,8238;;1311,,10065,,8178;;1311,,9673,,7725;;1311,,9592,,7641;;1311,,8955,,6920;;1311,,8262,,6215;;1311,,8159,,6121
A0A0E1EL42	1311,,17621,,19020;;1311,,11871,,10178;;1311,,10448,,8685;;1311,,10112,,8238;;1311,,10065,,8178;;1311,,9673,,7725;;1311,,9592,,7641;;1311,,8955,,6920;;1311,,8262,,6215;;1311,,8159,,6121
A0A0E1EN14	1311,,17621,,19020;;1311,,11871,,10178;;1311,,10448,,8685;;1311,,10112,,8238;;1311,,10065,,8178;;1311,,9673,,7725;;1311,,9592,,7641;;1311,,8955,,6920;;1311,,8262,,6215;;1311,,8159,,6121
A0A0E1R974	
A0A0E1Y3Q6	
A0A0E2CSW4	
A0A0E2D3A7	1049938,,13393,,12152;;1049938,,1797,,1145
A0A0E3CNN1	47715,,25134,,7796;;47715,,25133,,9883;;47715,,20931,,26199;;47715,,19973,,24228;;47715,,10297,,8488;;47715,,9896,,7994;;47715,,9575,,7625;;47715,,1978,,1256
A0A0E3CRJ7	47715,,25134,,7796;;47715,,25133,,9883;;47715,,20931,,26199;;47715,,19973,,24228;;47715,,10297,,8488;;47715,,9896,,7994;;47715,,9575,,7625;;47715,,1978,,1256
A0A0F0JYS2	573,,26068,,158;;573,,25126,,5584;;573,,25125,,7128;;573,,25124,,157;;573,,21759,,28420;;573,,21175,,26856;;573,,18978,,22059;;573,,18460,,20894;;573,,18098,,20028;;573,,17897,,19594
A0A0F6P9K5	72407,,17907,,19594;;72407,,17482,,18734;;72407,,16142,,16400;;72407,,14781,,13976;;72407,,13840,,12636;;72407,,13339,,12079;;72407,,13230,,11922;;72407,,13093,,11770;;72407,,12778,,11342;;72407,,12487,,10961
A0A0G2PF30	
A0A0G2Q9D4	
A0A0G2Q9D8	
A0A0G2Q9E8	
A0A0G2Q9E9	
A0A0G2Q9F8	
A0A0G2Q9F9	
A0A0G2Q9G0	
A0A0G2Q9H1	
A0A0G2Q9H2	
A0A0G2Q9I7	
A0A0G2Q9K0	
A0A0G2Q9L2	
A0A0G2Q9N7	
A0A0G2Q9N9	
A0A0H0YCP0	663,,20783,,25821;;663,,16652,,17275;;663,,13453,,12246;;663,,13432,,12222;;663,,10188,,8340
A0A0H0YG72	663,,20783,,25821;;663,,16652,,17275;;663,,13453,,12246;;663,,13432,,12222;;663,,10188,,8340
A0A0H0YGD0	663,,20783,,25821;;663,,16652,,17275;;663,,13453,,12246;;663,,13432,,12222;;663,,10188,,8340
A0A0H1NRE3	1311,,17621,,19020;;1311,,11871,,10178;;1311,,10448,,8685;;1311,,10112,,8238;;1311,,10065,,8178;;1311,,9673,,7725;;1311,,9592,,7641;;1311,,8955,,6920;;1311,,8262,,6215;;1311,,8159,,6121
A0A0H1XJQ7	1311,,17621,,19020;;1311,,11871,,10178;;1311,,10448,,8685;;1311,,10112,,8238;;1311,,10065,,8178;;1311,,9673,,7725;;1311,,9592,,7641;;1311,,8955,,6920;;1311,,8262,,6215;;1311,,8159,,6121
A0A0H2UQ40	
A0A0H2USC0	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2USF2	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2USF3	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2USG1	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2USH9	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2USM2	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2USP0	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2USP5	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2USS8	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UWW5	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UWZ6	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UX03	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UX23	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UX29	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UX95	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UXE8	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
A0A0H2UXR4	623,,26356,,209;;623,,26355,,3311;;623,,24967,,9552;;623,,24966,,8365;;623,,19924,,24129;;623,,17365,,18488;;623,,17313,,18373;;623,,12774,,11334;;623,,9878,,7968;;623,,6254,,4518
