Protein	Description,,Higher order taxa
A0A0E0UN97	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UNG4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UNJ4	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UNP3	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UPG1	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UPL1	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UPR3	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UPR9	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UPX2	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UQ72	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UQG5	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0URT6	Sinorhizobium,,Bacteria; Proteobacteria; Alphaproteobacteria
A0A0E0UW41	Listeria,,Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria
A0A0E0UWC2	Listeria,,Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria
A0A0E1EET6	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A0E1EL42	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A0E1EN14	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A0E1R974	Listeria,,Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria
A0A0E1Y3Q6	Listeria,,Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria
A0A0E2CSW4	Leptospira,,Bacteria; Spirochaetes; Spirochaetes(class); Spirochaetales; Leptospiraceae
A0A0E2D3A7	Leptospira,,Bacteria; Spirochaetes; Spirochaetes(class); Spirochaetales; Leptospiraceae
A0A0E3CNN1	Lactobacillus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
A0A0E3CRJ7	Lactobacillus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus
A0A0F0JYS2	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A0F6P9K5	Klebsiella,,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae
A0A0G2PF30	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9D4	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9D8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9E8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9E9	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9F8	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9F9	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9G0	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9H1	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9H2	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9I7	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9K0	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9L2	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9N7	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0G2Q9N9	Mycobacterium,,Bacteria; Actinobacteria; Actinobacteria (class); Actinobacteridae; Actinomycetales; Corynebacterineae; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex
A0A0H0YCP0	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A0A0H0YG72	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A0A0H0YGD0	Vibrio,,Bacteria; Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae
A0A0H1NRE3	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A0H1XJQ7	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A0H2UQ40	Streptococcus,,Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
A0A0H2USC0	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2USF2	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2USF3	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2USG1	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2USH9	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2USM2	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2USP0	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2USP5	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2USS8	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UWW5	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UWZ6	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UX03	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UX23	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UX29	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UX95	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UXE8	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UXR4	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UXU2	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UXV0	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UXW2	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UY03	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UY50	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UY62	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UY65	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UY89	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UY99	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UYA8	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UYC2	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
A0A0H2UYC3	Shigella,,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae
