Protein	Accession	Accession.id
Q83RR8	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RU3	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RX5	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83RX6	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83S00	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83S18	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83S42	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83S54	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SD5	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SE1	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SE5	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SE6	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SG2	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SM9	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SN2	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SN7	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SP1	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q83SQ0	Shigella	https://microbewiki.kenyon.edu/index.php/Shigella
Q84EC7	Synechococcus	https://microbewiki.kenyon.edu/index.php/Synechococcus
Q84F84	Bacillus	https://microbewiki.kenyon.edu/index.php/Bacillus
Q8CJR0	Streptomyces	https://microbewiki.kenyon.edu/index.php/Streptomyces
Q8CJR6	Streptomyces	https://microbewiki.kenyon.edu/index.php/Streptomyces
Q8CJR8	Streptomyces	https://microbewiki.kenyon.edu/index.php/Streptomyces
Q8CK13	Streptomyces	https://microbewiki.kenyon.edu/index.php/Streptomyces
Q8CWP9	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
Q8CXS7	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8CY87	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
Q8DR55	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
Q8E1E6	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
Q8E3U4	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
Q8E6N7	Streptococcus	https://microbewiki.kenyon.edu/index.php/Streptococcus
Q8EIX3		
Q8EXC5	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8EXH1	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8EYN0	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F1E5	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F1E7	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F1I5	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F1N3	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F1N6	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F1Q9	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F1R0	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F3D4	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F3G9	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F425	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F491	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F563	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F663	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F689	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F6H8	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F6H9	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F6K1	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F6U4	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F6Y5	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F701	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F7T3	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F7V3	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F850	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F8A5	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F8D0	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8F9U8	Leptospira	https://microbewiki.kenyon.edu/index.php/Leptospira
Q8GP19		
Q8GP20		
Q8KX25	Synechococcus	https://microbewiki.kenyon.edu/index.php/Synechococcus
Q8NQJ3	Corynebacterium	https://microbewiki.kenyon.edu/index.php/Corynebacterium
Q8NU97	Corynebacterium	https://microbewiki.kenyon.edu/index.php/Corynebacterium
Q8NU98	Corynebacterium	https://microbewiki.kenyon.edu/index.php/Corynebacterium
Q8PEJ1	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PEL1	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PEM1	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PER7	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PES0	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PEV9	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PEW2	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PEX7	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PF94	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PFF4	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PFG9	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PFX5	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PG87	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PGB3	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PGG6	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PGJ4	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PGK4	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PGN7	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
Q8PGS0	Xanthomonas	https://microbewiki.kenyon.edu/index.php/Xanthomonas
