Protein	Accession	Accession.id
A0A0E0UBD5	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UBD6	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UBH9	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UBL6	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UBP0	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UBU7	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UBV5	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UBX6	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UC24	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UCM8	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
A0A0E0UCS0	map03018;map02010;map00920;map00720;map00910	https://www.genome.jp/dbget-bin/www_bget?pathway:map03018;https://www.genome.jp/dbget-bin/www_bget?pathway:map02010;https://www.genome.jp/dbget-bin/www_bget?pathway:map00920;https://www.genome.jp/dbget-bin/www_bget?pathway:map00720;https://www.genome.jp/dbget-bin/www_bget?pathway:map00910
